station_name_raw,station_member_id,source,notes
Marechal Deodoro,marechal-deodoro,metro_historic,
Oratório,oratorio,metro_historic,
Palmeiras-Barra Funda,palmeiras-barra-funda,metro_historic,
Parada Inglesa,parada-inglesa,metro_historic,
Paraíso,paraiso,metro_historic,
Patriarca,patriarca,metro_historic,
Patriarca-Vila Ré,patriarca,metro_historic,
Pedro II,pedro-ii,metro_historic,
Penha,penha,metro_historic,
Penha-Lojas Besni,penha,metro_historic,
Portuguesa-Tietê,portuguesa-tiete,metro_historic,
Praça da Árvore,praca-da-arvore,metro_historic,
República,republica,metro_historic,
Sacomã,sacoma,metro_historic,
Santa Cecília,santa-cecilia,metro_historic,
Santa Cruz,santa-cruz,metro_historic,
Santana,santana,metro_historic,
Santo Amaro,santo-amaro,metro_historic,
Santos-Imigrantes,santos-imigrantes,metro_historic,
Santuário N.S. de Fátima-Sumaré,sumare,metro_historic,
Sapopemba,sapopemba,metro_historic,
Saúde,saude,metro_historic,
Saúde-Ultrafarma,saude,metro_historic,
São Bento,sao-bento,metro_historic,
São Joaquim,sao-joaquim,metro_historic,
São Judas,sao-judas,metro_historic,
São Lucas,sao-lucas,metro_historic,
São Mateus,sao-mateus,metro_historic,
Sé,se,metro_historic,
Tamanduateí,tamanduatei,metro_historic,
Tatuapé,tatuape,metro_historic,
Tiradentes,tiradentes,metro_historic,
Trianon-Masp,trianon-masp,metro_historic,
Tucuruvi,tucuruvi,metro_historic,
Vergueiro,vergueiro,metro_historic,
Vila Madalena,vila-madalena,metro_historic,
Vila Mariana,vila-mariana,metro_historic,
Vila Matilde,vila-matilde,metro_historic,
Vila Prudente,vila-prudente,metro_historic,
Vila Tolstói,vila-tolstoi,metro_historic,
Vila União,vila-uniao,metro_historic,
Vila das Belezas,vila-das-belezas,metro_historic,
