date,line_number,metric_abb,metric,value,year
2020-05-01,2,msa,Média dos Sábados,86,2020
2020-05-01,2,mdo,Média dos Domingos,53,2020
2020-05-01,2,max,Máxima Diária,178,2020
2020-05-01,3,total,Total,8889,2020
2020-05-01,3,mdu,Média dos Dias Úteis,369,2020
2020-05-01,3,msa,Média dos Sábados,215,2020
2020-05-01,3,mdo,Média dos Domingos,127,2020
2020-05-01,3,max,Máxima Diária,385,2020
2020-05-01,15,total,Total,NA,2020
2020-05-01,15,mdu,Média dos Dias Úteis,NA,2020
2020-05-01,15,msa,Média dos Sábados,NA,2020
2020-05-01,15,mdo,Média dos Domingos,NA,2020
2020-05-01,15,max,Máxima Diária,NA,2020
2020-05-01,NA,total,Total,20589,2020
2020-05-01,NA,mdu,Média dos Dias Úteis,858,2020
2020-05-01,NA,msa,Média dos Sábados,488,2020
2020-05-01,NA,mdo,Média dos Domingos,291,2020
2020-05-01,NA,max,Máxima Diária,895,2020
2020-06-01,1,total,Total,10074,2020
2020-06-01,1,mdu,Média dos Dias Úteis,391,2020
2020-06-01,1,msa,Média dos Sábados,239,2020
2020-06-01,1,mdo,Média dos Domingos,128,2020
2020-06-01,1,max,Máxima Diária,438,2020
2020-06-01,2,total,Total,5210,2020
2020-06-01,2,mdu,Média dos Dias Úteis,206,2020
2020-06-01,2,msa,Média dos Sábados,106,2020
2020-06-01,2,mdo,Média dos Domingos,61,2020
2020-06-01,2,max,Máxima Diária,233,2020
2020-06-01,3,total,Total,11542,2020
2020-06-01,3,mdu,Média dos Dias Úteis,448,2020
2020-06-01,3,msa,Média dos Sábados,272,2020
2020-06-01,3,mdo,Média dos Domingos,152,2020
2020-06-01,3,max,Máxima Diária,494,2020
2020-06-01,15,total,Total,663,2020
2020-06-01,15,mdu,Média dos Dias Úteis,27,2020
2020-06-01,15,msa,Média dos Sábados,15,2020
2020-06-01,15,mdo,Média dos Domingos,9,2020
2020-06-01,15,max,Máxima Diária,39,2020
2020-06-01,NA,total,Total,27489,2020
2020-06-01,NA,mdu,Média dos Dias Úteis,1072,2020
2020-06-01,NA,msa,Média dos Sábados,628,2020
2020-06-01,NA,mdo,Média dos Domingos,348,2020
2020-06-01,NA,max,Máxima Diária,1203,2020
2020-07-01,1,total,Total,13023,2020
2020-07-01,1,mdu,Média dos Dias Úteis,484,2020
2020-07-01,1,msa,Média dos Sábados,322,2020
2020-07-01,1,mdo,Média dos Domingos,155,2020
2020-07-01,1,max,Máxima Diária,527,2020
2020-07-01,2,total,Total,6651,2020
2020-07-01,2,mdu,Média dos Dias Úteis,254,2020
2020-07-01,2,msa,Média dos Sábados,137,2020
2020-07-01,2,mdo,Média dos Domingos,73,2020
2020-07-01,2,max,Máxima Diária,281,2020
2020-07-01,3,total,Total,14675,2020
2020-07-01,3,mdu,Média dos Dias Úteis,546,2020
2020-07-01,3,msa,Média dos Sábados,359,2020
2020-07-01,3,mdo,Média dos Domingos,182,2020
2020-07-01,3,max,Máxima Diária,593,2020
2020-07-01,15,total,Total,1161,2020
2020-07-01,15,mdu,Média dos Dias Úteis,44,2020
2020-07-01,15,msa,Média dos Sábados,26,2020
2020-07-01,15,mdo,Média dos Domingos,13,2020
2020-07-01,15,max,Máxima Diária,49,2020
2020-07-01,NA,total,Total,35510,2020
2020-07-01,NA,mdu,Média dos Dias Úteis,1328,2020
2020-07-01,NA,msa,Média dos Sábados,844,2020
2020-07-01,NA,mdo,Média dos Domingos,423,2020
2020-07-01,NA,max,Máxima Diária,1450,2020
2020-08-01,1,total,Total,14306,2020
2020-08-01,1,mdu,Média dos Dias Úteis,553,2020
2020-08-01,1,msa,Média dos Sábados,363,2020
2020-08-01,1,mdo,Média dos Domingos,174,2020
2020-08-01,1,max,Máxima Diária,596,2020
2020-08-01,2,total,Total,7393,2020
2020-08-01,2,mdu,Média dos Dias Úteis,295,2020
2020-08-01,2,msa,Média dos Sábados,158,2020
2020-08-01,2,mdo,Média dos Domingos,83,2020
2020-08-01,2,max,Máxima Diária,314,2020
2020-08-01,3,total,Total,15807,2020
2020-08-01,3,mdu,Média dos Dias Úteis,610,2020
2020-08-01,3,msa,Média dos Sábados,398,2020
2020-08-01,3,mdo,Média dos Domingos,202,2020
2020-08-01,3,max,Máxima Diária,660,2020
2020-08-01,15,total,Total,1333,2020
2020-08-01,15,mdu,Média dos Dias Úteis,52,2020
2020-08-01,15,msa,Média dos Sábados,32,2020
2020-08-01,15,mdo,Média dos Domingos,16,2020
2020-08-01,15,max,Máxima Diária,57,2020
2020-08-01,NA,total,Total,38838,2020
2020-08-01,NA,mdu,Média dos Dias Úteis,1510,2020
2020-08-01,NA,msa,Média dos Sábados,950,2020
2020-08-01,NA,mdo,Média dos Domingos,475,2020
2020-08-01,NA,max,Máxima Diária,1626,2020
2020-09-01,1,total,Total,15697,2020
2020-09-01,1,mdu,Média dos Dias Úteis,616,2020
2020-09-01,1,msa,Média dos Sábados,419,2020
2020-09-01,1,mdo,Média dos Domingos,207,2020
2020-09-01,1,max,Máxima Diária,643,2020
2020-09-01,2,total,Total,8150,2020
2020-09-01,2,mdu,Média dos Dias Úteis,329,2020
2020-09-01,2,msa,Média dos Sábados,181,2020
2020-09-01,2,mdo,Média dos Domingos,97,2020
2020-09-01,2,max,Máxima Diária,344,2020
2020-09-01,3,total,Total,17121,2020
2020-09-01,3,mdu,Média dos Dias Úteis,671,2020
2020-09-01,3,msa,Média dos Sábados,453,2020
2020-09-01,3,mdo,Média dos Domingos,233,2020
2020-09-01,3,max,Máxima Diária,698,2020
2020-09-01,15,total,Total,1513,2020
2020-09-01,15,mdu,Média dos Dias Úteis,60,2020
2020-09-01,15,msa,Média dos Sábados,38,2020
2020-09-01,15,mdo,Média dos Domingos,20,2020
2020-09-01,15,max,Máxima Diária,63,2020
2020-09-01,NA,total,Total,42480,2020
2020-09-01,NA,mdu,Média dos Dias Úteis,1676,2020
2020-09-01,NA,msa,Média dos Sábados,1091,2020
2020-09-01,NA,mdo,Média dos Domingos,557,2020
2020-09-01,NA,max,Máxima Diária,1748,2020
2020-10-01,1,total,Total,17480,2020
