date,line_number,metric_abb,metric,value,year
2020-05-01,3,mdo,Average on Sundays,127,2020
2020-05-01,3,max,Daily Peak,385,2020
2020-05-01,15,total,Total,NA,2020
2020-05-01,15,mdu,Average on Business Days,NA,2020
2020-05-01,15,msa,Average on Saturdays,NA,2020
2020-05-01,15,mdo,Average on Sundays,NA,2020
2020-05-01,15,max,Daily Peak,NA,2020
2020-05-01,99,total,Total,20589,2020
2020-05-01,99,mdu,Average on Business Days,858,2020
2020-05-01,99,msa,Average on Saturdays,488,2020
2020-05-01,99,mdo,Average on Sundays,291,2020
2020-05-01,99,max,Daily Peak,895,2020
2020-06-01,1,total,Total,10074,2020
2020-06-01,1,mdu,Average on Business Days,391,2020
2020-06-01,1,msa,Average on Saturdays,239,2020
2020-06-01,1,mdo,Average on Sundays,128,2020
2020-06-01,1,max,Daily Peak,438,2020
2020-06-01,2,total,Total,5210,2020
2020-06-01,2,mdu,Average on Business Days,206,2020
2020-06-01,2,msa,Average on Saturdays,106,2020
2020-06-01,2,mdo,Average on Sundays,61,2020
2020-06-01,2,max,Daily Peak,233,2020
2020-06-01,3,total,Total,11542,2020
2020-06-01,3,mdu,Average on Business Days,448,2020
2020-06-01,3,msa,Average on Saturdays,272,2020
2020-06-01,3,mdo,Average on Sundays,152,2020
2020-06-01,3,max,Daily Peak,494,2020
2020-06-01,15,total,Total,663,2020
2020-06-01,15,mdu,Average on Business Days,27,2020
2020-06-01,15,msa,Average on Saturdays,15,2020
2020-06-01,15,mdo,Average on Sundays,9,2020
2020-06-01,15,max,Daily Peak,39,2020
2020-06-01,99,total,Total,27489,2020
2020-06-01,99,mdu,Average on Business Days,1072,2020
2020-06-01,99,msa,Average on Saturdays,628,2020
2020-06-01,99,mdo,Average on Sundays,348,2020
2020-06-01,99,max,Daily Peak,1203,2020
2020-07-01,1,total,Total,13023,2020
2020-07-01,1,mdu,Average on Business Days,484,2020
2020-07-01,1,msa,Average on Saturdays,322,2020
2020-07-01,1,mdo,Average on Sundays,155,2020
2020-07-01,1,max,Daily Peak,527,2020
2020-07-01,2,total,Total,6651,2020
2020-07-01,2,mdu,Average on Business Days,254,2020
2020-07-01,2,msa,Average on Saturdays,137,2020
2020-07-01,2,mdo,Average on Sundays,73,2020
2020-07-01,2,max,Daily Peak,281,2020
2020-07-01,3,total,Total,14675,2020
2020-07-01,3,mdu,Average on Business Days,546,2020
2020-07-01,3,msa,Average on Saturdays,359,2020
2020-07-01,3,mdo,Average on Sundays,182,2020
2020-07-01,3,max,Daily Peak,593,2020
2020-07-01,15,total,Total,1161,2020
2020-07-01,15,mdu,Average on Business Days,44,2020
2020-07-01,15,msa,Average on Saturdays,26,2020
2020-07-01,15,mdo,Average on Sundays,13,2020
2020-07-01,15,max,Daily Peak,49,2020
2020-07-01,99,total,Total,35510,2020
2020-07-01,99,mdu,Average on Business Days,1328,2020
2020-07-01,99,msa,Average on Saturdays,844,2020
2020-07-01,99,mdo,Average on Sundays,423,2020
2020-07-01,99,max,Daily Peak,1450,2020
2020-08-01,1,total,Total,14306,2020
2020-08-01,1,mdu,Average on Business Days,553,2020
2020-08-01,1,msa,Average on Saturdays,363,2020
2020-08-01,1,mdo,Average on Sundays,174,2020
2020-08-01,1,max,Daily Peak,596,2020
2020-08-01,2,total,Total,7393,2020
2020-08-01,2,mdu,Average on Business Days,295,2020
2020-08-01,2,msa,Average on Saturdays,158,2020
2020-08-01,2,mdo,Average on Sundays,83,2020
2020-08-01,2,max,Daily Peak,314,2020
2020-08-01,3,total,Total,15807,2020
2020-08-01,3,mdu,Average on Business Days,610,2020
2020-08-01,3,msa,Average on Saturdays,398,2020
2020-08-01,3,mdo,Average on Sundays,202,2020
2020-08-01,3,max,Daily Peak,660,2020
2020-08-01,15,total,Total,1333,2020
2020-08-01,15,mdu,Average on Business Days,52,2020
2020-08-01,15,msa,Average on Saturdays,32,2020
2020-08-01,15,mdo,Average on Sundays,16,2020
2020-08-01,15,max,Daily Peak,57,2020
2020-08-01,99,total,Total,38838,2020
2020-08-01,99,mdu,Average on Business Days,1510,2020
2020-08-01,99,msa,Average on Saturdays,950,2020
2020-08-01,99,mdo,Average on Sundays,475,2020
2020-08-01,99,max,Daily Peak,1626,2020
2020-09-01,1,total,Total,15697,2020
2020-09-01,1,mdu,Average on Business Days,616,2020
2020-09-01,1,msa,Average on Saturdays,419,2020
2020-09-01,1,mdo,Average on Sundays,207,2020
2020-09-01,1,max,Daily Peak,643,2020
2020-09-01,2,total,Total,8150,2020
2020-09-01,2,mdu,Average on Business Days,329,2020
2020-09-01,2,msa,Average on Saturdays,181,2020
2020-09-01,2,mdo,Average on Sundays,97,2020
2020-09-01,2,max,Daily Peak,344,2020
2020-09-01,3,total,Total,17121,2020
2020-09-01,3,mdu,Average on Business Days,671,2020
2020-09-01,3,msa,Average on Saturdays,453,2020
2020-09-01,3,mdo,Average on Sundays,233,2020
2020-09-01,3,max,Daily Peak,698,2020
2020-09-01,15,total,Total,1513,2020
2020-09-01,15,mdu,Average on Business Days,60,2020
2020-09-01,15,msa,Average on Saturdays,38,2020
2020-09-01,15,mdo,Average on Sundays,20,2020
2020-09-01,15,max,Daily Peak,63,2020
2020-09-01,99,total,Total,42480,2020
2020-09-01,99,mdu,Average on Business Days,1676,2020
2020-09-01,99,msa,Average on Saturdays,1091,2020
2020-09-01,99,mdo,Average on Sundays,557,2020
2020-09-01,99,max,Daily Peak,1748,2020
2020-10-01,1,total,Total,17480,2020
2020-10-01,1,mdu,Average on Business Days,668,2020
2020-10-01,1,msa,Average on Saturdays,453,2020
2020-10-01,1,mdo,Average on Sundays,224,2020
2020-10-01,1,max,Daily Peak,698,2020
2020-10-01,2,total,Total,9020,2020
2020-10-01,2,mdu,Average on Business Days,356,2020
2020-10-01,2,msa,Average on Saturdays,196,2020
2020-10-01,2,mdo,Average on Sundays,107,2020
2020-10-01,2,max,Daily Peak,371,2020
2020-10-01,3,total,Total,18881,2020
2020-10-01,3,mdu,Average on Business Days,722,2020
2020-10-01,3,msa,Average on Saturdays,482,2020
2020-10-01,3,mdo,Average on Sundays,252,2020
2020-10-01,3,max,Daily Peak,759,2020
2020-10-01,15,total,Total,1650,2020
2020-10-01,15,mdu,Average on Business Days,64,2020
2020-10-01,15,msa,Average on Saturdays,39,2020
2020-10-01,15,mdo,Average on Sundays,21,2020
2020-10-01,15,max,Daily Peak,68,2020
2020-10-01,99,total,Total,47032,2020
2020-10-01,99,mdu,Average on Business Days,1811,2020
2020-10-01,99,msa,Average on Saturdays,1171,2020
2020-10-01,99,mdo,Average on Sundays,604,2020
2020-10-01,99,max,Daily Peak,1895,2020
2020-11-01,1,total,Total,17630,2020
2020-11-01,1,mdu,Average on Business Days,703,2020
2020-11-01,1,msa,Average on Saturdays,503,2020
2020-11-01,1,mdo,Average on Sundays,259,2020
2020-11-01,1,max,Daily Peak,736,2020
2020-11-01,2,total,Total,9080,2020
2020-11-01,2,mdu,Average on Business Days,374,2020
2020-11-01,2,msa,Average on Saturdays,217,2020
2020-11-01,2,mdo,Average on Sundays,124,2020
2020-11-01,2,max,Daily Peak,387,2020
2020-11-01,3,total,Total,18956,2020
2020-11-01,3,mdu,Average on Business Days,754,2020
2020-11-01,3,msa,Average on Saturdays,538,2020
2020-11-01,3,mdo,Average on Sundays,289,2020
2020-11-01,3,max,Daily Peak,798,2020
2020-11-01,15,total,Total,1631,2020
2020-11-01,15,mdu,Average on Business Days,66,2020
2020-11-01,15,msa,Average on Saturdays,42,2020
2020-11-01,15,mdo,Average on Sundays,24,2020
2020-11-01,15,max,Daily Peak,70,2020
2020-11-01,99,total,Total,47298,2020
2020-11-01,99,mdu,Average on Business Days,1897,2020
2020-11-01,99,msa,Average on Saturdays,1300,2020
2020-11-01,99,mdo,Average on Sundays,695,2020
2020-11-01,99,max,Daily Peak,1987,2020
2020-12-01,1,total,Total,17629,2020
2020-12-01,1,mdu,Average on Business Days,696,2020
2020-12-01,1,msa,Average on Saturdays,467,2020
2020-12-01,1,mdo,Average on Sundays,252,2020
2020-12-01,1,max,Daily Peak,757,2020
2020-12-01,2,total,Total,8889,2020
2020-12-01,2,mdu,Average on Business Days,364,2020
2020-12-01,2,msa,Average on Saturdays,197,2020
2020-12-01,2,mdo,Average on Sundays,114,2020
2020-12-01,2,max,Daily Peak,394,2020
2020-12-01,3,total,Total,19256,2020
2020-12-01,3,mdu,Average on Business Days,758,2020
2020-12-01,3,msa,Average on Saturdays,512,2020
2020-12-01,3,mdo,Average on Sundays,283,2020
2020-12-01,3,max,Daily Peak,839,2020
2020-12-01,15,total,Total,1692,2020
2020-12-01,15,mdu,Average on Business Days,68,2020
2020-12-01,15,msa,Average on Saturdays,42,2020
2020-12-01,15,mdo,Average on Sundays,23,2020
2020-12-01,15,max,Daily Peak,73,2020
2020-12-01,99,total,Total,47466,2020
2020-12-01,99,mdu,Average on Business Days,1886,2020
2020-12-01,99,msa,Average on Saturdays,1218,2020
2020-12-01,99,mdo,Average on Sundays,672,2020
2020-12-01,99,max,Daily Peak,2063,2020
2021-01-01,1,total,Total,15890,2021
2021-01-01,1,mdu,Average on Business Days,656,2021
2021-01-01,1,msa,Average on Saturdays,376,2021
2021-01-01,1,mdo,Average on Sundays,224,2021
2021-01-01,1,max,Daily Peak,695,2021
2021-01-01,2,total,Total,8244,2021
2021-01-01,2,mdu,Average on Business Days,353,2021
2021-01-01,2,msa,Average on Saturdays,166,2021
2021-01-01,2,mdo,Average on Sundays,102,2021
2021-01-01,2,max,Daily Peak,373,2021
2021-01-01,3,total,Total,17091,2021
2021-01-01,3,mdu,Average on Business Days,706,2021
2021-01-01,3,msa,Average on Saturdays,401,2021
2021-01-01,3,mdo,Average on Sundays,241,2021
2021-01-01,3,max,Daily Peak,750,2021
2021-01-01,15,total,Total,1571,2021
2021-01-01,15,mdu,Average on Business Days,66,2021
