year,measure,date,variable,value,line_number,type,line_name_pt,line_name
2017,entrance,2017-12-01,Média dos dias úteis,12,15,metro,Prata,Silver
2017,entrance,2017-12-01,Média dos dias úteis,2917,99,metro,Sistema METRO,METRO System
2017,entrance,2017-12-01,Média dos Sábados,578,1,metro,Azul,Blue
2017,entrance,2017-12-01,Média dos Sábados,222,2,metro,Verde,Green
2017,entrance,2017-12-01,Média dos Sábados,725,3,metro,Vermelha,Red
2017,entrance,2017-12-01,Média dos Sábados,167,5,metro,Lil<c3><a1>s,Lilac
2017,entrance,2017-12-01,Média dos Sábados,4,15,metro,Prata,Silver
2017,entrance,2017-12-01,Média dos Sábados,1695,99,metro,Sistema METRO,METRO System
2017,entrance,2017-12-01,Média dos Domingos,326,1,metro,Azul,Blue
2017,entrance,2017-12-01,Média dos Domingos,163,2,metro,Verde,Green
2017,entrance,2017-12-01,Média dos Domingos,426,3,metro,Vermelha,Red
2017,entrance,2017-12-01,Média dos Domingos,88,5,metro,Lil<c3><a1>s,Lilac
2017,entrance,2017-12-01,Média dos Domingos,1,15,metro,Prata,Silver
2017,entrance,2017-12-01,Média dos Domingos,1004,99,metro,Sistema METRO,METRO System
2017,entrance,2017-12-01,Máxima Diária,1107,1,metro,Azul,Blue
2017,entrance,2017-12-01,Máxima Diária,565,2,metro,Verde,Green
2017,entrance,2017-12-01,Máxima Diária,1260,3,metro,Vermelha,Red
2017,entrance,2017-12-01,Máxima Diária,290,5,metro,Lil<c3><a1>s,Lilac
2017,entrance,2017-12-01,Máxima Diária,14,15,metro,Prata,Silver
2017,entrance,2017-12-01,Máxima Diária,3223,99,metro,Sistema METRO,METRO System
2017,transport,2017-10-01,Total,35446,1,metro,Azul,Blue
2017,transport,2017-10-01,Total,16637,2,metro,Verde,Green
2017,transport,2017-10-01,Total,36496,3,metro,Vermelha,Red
2017,transport,2017-10-01,Total,6427,5,metro,Lil<c3><a1>s,Lilac
2017,transport,2017-10-01,Total,459,15,metro,Prata,Silver
2017,transport,2017-10-01,Total,95464,99,metro,Sistema METRO,METRO System
2017,transport,2017-10-01,Média dos dias úteis,1432,1,metro,Azul,Blue
2017,transport,2017-10-01,Média dos dias úteis,696,2,metro,Verde,Green
2017,transport,2017-10-01,Média dos dias úteis,1455,3,metro,Vermelha,Red
2017,transport,2017-10-01,Média dos dias úteis,264,5,metro,Lil<c3><a1>s,Lilac
2017,transport,2017-10-01,Média dos dias úteis,20,15,metro,Prata,Silver
2017,transport,2017-10-01,Média dos dias úteis,3867,99,metro,Sistema METRO,METRO System
2017,transport,2017-10-01,Média dos Sábados,788,1,metro,Azul,Blue
2017,transport,2017-10-01,Média dos Sábados,301,2,metro,Verde,Green
2017,transport,2017-10-01,Média dos Sábados,835,3,metro,Vermelha,Red
2017,transport,2017-10-01,Média dos Sábados,149,5,metro,Lil<c3><a1>s,Lilac
2017,transport,2017-10-01,Média dos Sábados,7,15,metro,Prata,Silver
2017,transport,2017-10-01,Média dos Sábados,2080,99,metro,Sistema METRO,METRO System
2017,transport,2017-10-01,Média dos Domingos,422,1,metro,Azul,Blue
2017,transport,2017-10-01,Média dos Domingos,179,2,metro,Verde,Green
2017,transport,2017-10-01,Média dos Domingos,485,3,metro,Vermelha,Red
2017,transport,2017-10-01,Média dos Domingos,57,5,metro,Lil<c3><a1>s,Lilac
2017,transport,2017-10-01,Média dos Domingos,2,15,metro,Prata,Silver
2017,transport,2017-10-01,Média dos Domingos,1146,99,metro,Sistema METRO,METRO System
2017,transport,2017-10-01,Máxima Diária,1506,1,metro,Azul,Blue
2017,transport,2017-10-01,Máxima Diária,718,2,metro,Verde,Green
2017,transport,2017-10-01,Máxima Diária,1532,3,metro,Vermelha,Red
2017,transport,2017-10-01,Máxima Diária,280,5,metro,Lil<c3><a1>s,Lilac
2017,transport,2017-10-01,Máxima Diária,21,15,metro,Prata,Silver
2017,transport,2017-10-01,Máxima Diária,4057,99,metro,Sistema METRO,METRO System
2017,transport,2017-11-01,Total,33847,1,metro,Azul,Blue
2017,transport,2017-11-01,Total,15719,2,metro,Verde,Green
2017,transport,2017-11-01,Total,35010,3,metro,Vermelha,Red
2017,transport,2017-11-01,Total,6348,5,metro,Lil<c3><a1>s,Lilac
2017,transport,2017-11-01,Total,462,15,metro,Prata,Silver
2017,transport,2017-11-01,Total,91386,99,metro,Sistema METRO,METRO System
2017,transport,2017-11-01,Média dos dias úteis,1453,1,metro,Azul,Blue
2017,transport,2017-11-01,Média dos dias úteis,704,2,metro,Verde,Green
2017,transport,2017-11-01,Média dos dias úteis,1475,3,metro,Vermelha,Red
2017,transport,2017-11-01,Média dos dias úteis,274,5,metro,Lil<c3><a1>s,Lilac
2017,transport,2017-11-01,Média dos dias úteis,22,15,metro,Prata,Silver
2017,transport,2017-11-01,Média dos dias úteis,3928,99,metro,Sistema METRO,METRO System
2017,transport,2017-11-01,Média dos Sábados,794,1,metro,Azul,Blue
2017,transport,2017-11-01,Média dos Sábados,298,2,metro,Verde,Green
2017,transport,2017-11-01,Média dos Sábados,860,3,metro,Vermelha,Red
2017,transport,2017-11-01,Média dos Sábados,155,5,metro,Lil<c3><a1>s,Lilac
2017,transport,2017-11-01,Média dos Sábados,8,15,metro,Prata,Silver
2017,transport,2017-11-01,Média dos Sábados,2116,99,metro,Sistema METRO,METRO System
2017,transport,2017-11-01,Média dos Domingos,460,1,metro,Azul,Blue
2017,transport,2017-11-01,Média dos Domingos,187,2,metro,Verde,Green
2017,transport,2017-11-01,Média dos Domingos,532,3,metro,Vermelha,Red
2017,transport,2017-11-01,Média dos Domingos,77,5,metro,Lil<c3><a1>s,Lilac
2017,transport,2017-11-01,Média dos Domingos,2,15,metro,Prata,Silver
2017,transport,2017-11-01,Média dos Domingos,1258,99,metro,Sistema METRO,METRO System
2017,transport,2017-11-01,Máxima Diária,1502,1,metro,Azul,Blue
2017,transport,2017-11-01,Máxima Diária,721,2,metro,Verde,Green
