year,measure,date,variable,value,line_number,type,line_name_pt,line_name
2016,entrance,2016-03-01,Média dos Dias Úteis,3119,99,metro,Sistema METRO,METRO System
2016,entrance,2016-03-01,Média dos Sábados,563,1,metro,Azul,Blue
2016,entrance,2016-03-01,Média dos Sábados,226,2,metro,Verde,Green
2016,entrance,2016-03-01,Média dos Sábados,677,3,metro,Vermelha,Red
2016,entrance,2016-03-01,Média dos Sábados,156,5,metro,Lilás,Lilac
2016,entrance,2016-03-01,Média dos Sábados,3,15,metro,Prata,Silver
2016,entrance,2016-03-01,Média dos Sábados,1625,99,metro,Sistema METRO,METRO System
2016,entrance,2016-03-01,Média dos Domingos,314,1,metro,Azul,Blue
2016,entrance,2016-03-01,Média dos Domingos,131,2,metro,Verde,Green
2016,entrance,2016-03-01,Média dos Domingos,398,3,metro,Vermelha,Red
2016,entrance,2016-03-01,Média dos Domingos,74,5,metro,Lilás,Lilac
2016,entrance,2016-03-01,Média dos Domingos,2,15,metro,Prata,Silver
2016,entrance,2016-03-01,Média dos Domingos,919,99,metro,Sistema METRO,METRO System
2016,entrance,2016-03-01,Máxima Diária,1102,1,metro,Azul,Blue
2016,entrance,2016-03-01,Máxima Diária,588,2,metro,Verde,Green
2016,entrance,2016-03-01,Máxima Diária,1253,3,metro,Vermelha,Red
2016,entrance,2016-03-01,Máxima Diária,284,5,metro,Lilás,Lilac
2016,entrance,2016-03-01,Máxima Diária,9,15,metro,Prata,Silver
2016,entrance,2016-03-01,Máxima Diária,3224,99,metro,Sistema METRO,METRO System
2016,entrance,2016-04-01,Total,25688,1,metro,Azul,Blue
2016,entrance,2016-04-01,Total,12450,2,metro,Verde,Green
2016,entrance,2016-04-01,Total,29738,3,metro,Vermelha,Red
2016,entrance,2016-04-01,Total,6603,5,metro,Lilás,Lilac
2016,entrance,2016-04-01,Total,173,15,metro,Prata,Silver
2016,entrance,2016-04-01,Total,74651,99,metro,Sistema METRO,METRO System
2016,entrance,2016-04-01,Média dos Dias Úteis,1078,1,metro,Azul,Blue
2016,entrance,2016-04-01,Média dos Dias Úteis,540,2,metro,Verde,Green
2016,entrance,2016-04-01,Média dos Dias Úteis,1227,3,metro,Vermelha,Red
2016,entrance,2016-04-01,Média dos Dias Úteis,272,5,metro,Lilás,Lilac
2016,entrance,2016-04-01,Média dos Dias Úteis,8,15,metro,Prata,Silver
2016,entrance,2016-04-01,Média dos Dias Úteis,3125,99,metro,Sistema METRO,METRO System
2016,entrance,2016-04-01,Média dos Sábados,566,1,metro,Azul,Blue
2016,entrance,2016-04-01,Média dos Sábados,230,2,metro,Verde,Green
2016,entrance,2016-04-01,Média dos Sábados,682,3,metro,Vermelha,Red
2016,entrance,2016-04-01,Média dos Sábados,158,5,metro,Lilás,Lilac
2016,entrance,2016-04-01,Média dos Sábados,3,15,metro,Prata,Silver
2016,entrance,2016-04-01,Média dos Sábados,1639,99,metro,Sistema METRO,METRO System
2016,entrance,2016-04-01,Média dos Domingos,329,1,metro,Azul,Blue
2016,entrance,2016-04-01,Média dos Domingos,146,2,metro,Verde,Green
2016,entrance,2016-04-01,Média dos Domingos,441,3,metro,Vermelha,Red
2016,entrance,2016-04-01,Média dos Domingos,85,5,metro,Lilás,Lilac
2016,entrance,2016-04-01,Média dos Domingos,1,15,metro,Prata,Silver
2016,entrance,2016-04-01,Média dos Domingos,1002,99,metro,Sistema METRO,METRO System
2016,entrance,2016-04-01,Máxima Diária,1111,1,metro,Azul,Blue
2016,entrance,2016-04-01,Máxima Diária,552,2,metro,Verde,Green
2016,entrance,2016-04-01,Máxima Diária,1274,3,metro,Vermelha,Red
2016,entrance,2016-04-01,Máxima Diária,284,5,metro,Lilás,Lilac
2016,entrance,2016-04-01,Máxima Diária,9,15,metro,Prata,Silver
2016,entrance,2016-04-01,Máxima Diária,3225,99,metro,Sistema METRO,METRO System
2016,entrance,2016-05-01,Total,26357,1,metro,Azul,Blue
2016,entrance,2016-05-01,Total,12814,2,metro,Verde,Green
2016,entrance,2016-05-01,Total,30549,3,metro,Vermelha,Red
2016,entrance,2016-05-01,Total,6697,5,metro,Lilás,Lilac
