date,line_number,metric_abb,metric,value,year
2020-05-01,NA,mdo,Média dos Domingos,223,2020
2020-05-01,NA,max,Máxima Diária,717,2020
2020-06-01,1,total,Total,7241,2020
2020-06-01,1,mdu,Média dos Dias Úteis,284,2020
2020-06-01,1,msa,Média dos Sábados,163,2020
2020-06-01,1,mdo,Média dos Domingos,85,2020
2020-06-01,1,max,Máxima Diária,319,2020
2020-06-01,2,total,Total,3978,2020
2020-06-01,2,mdu,Média dos Dias Úteis,157,2020
2020-06-01,2,msa,Média dos Sábados,81,2020
2020-06-01,2,mdo,Média dos Domingos,47,2020
2020-06-01,2,max,Máxima Diária,175,2020
2020-06-01,3,total,Total,9911,2020
2020-06-01,3,mdu,Média dos Dias Úteis,386,2020
2020-06-01,3,msa,Média dos Sábados,227,2020
2020-06-01,3,mdo,Média dos Domingos,128,2020
2020-06-01,3,max,Máxima Diária,425,2020
2020-06-01,15,total,Total,405,2020
2020-06-01,15,mdu,Média dos Dias Úteis,16,2020
2020-06-01,15,msa,Média dos Sábados,7,2020
2020-06-01,15,mdo,Média dos Domingos,4,2020
2020-06-01,15,max,Máxima Diária,23,2020
2020-06-01,NA,total,Total,21534,2020
2020-06-01,NA,mdu,Média dos Dias Úteis,844,2020
2020-06-01,NA,msa,Média dos Sábados,478,2020
2020-06-01,NA,mdo,Média dos Domingos,264,2020
2020-06-01,NA,max,Máxima Diária,942,2020
2020-07-01,1,total,Total,9406,2020
2020-07-01,1,mdu,Média dos Dias Úteis,354,2020
2020-07-01,1,msa,Média dos Sábados,224,2020
2020-07-01,1,mdo,Média dos Domingos,104,2020
2020-07-01,1,max,Máxima Diária,384,2020
2020-07-01,2,total,Total,4984,2020
2020-07-01,2,mdu,Média dos Dias Úteis,191,2020
2020-07-01,2,msa,Média dos Sábados,100,2020
2020-07-01,2,mdo,Média dos Domingos,55,2020
2020-07-01,2,max,Máxima Diária,208,2020
2020-07-01,3,total,Total,12544,2020
2020-07-01,3,mdu,Média dos Dias Úteis,469,2020
2020-07-01,3,msa,Média dos Sábados,298,2020
2020-07-01,3,mdo,Média dos Domingos,152,2020
2020-07-01,3,max,Máxima Diária,510,2020
2020-07-01,15,total,Total,709,2020
2020-07-01,15,mdu,Média dos Dias Úteis,27,2020
2020-07-01,15,msa,Média dos Sábados,17,2020
2020-07-01,15,mdo,Média dos Domingos,9,2020
2020-07-01,15,max,Máxima Diária,29,2020
2020-07-01,NA,total,Total,27642,2020
2020-07-01,NA,mdu,Média dos Dias Úteis,1040,2020
