date,line_number,metric_abb,metric,value,year
2020-06-01,2,total,Total,3978,2020
2020-06-01,2,mdu,Average on Business Days,157,2020
2020-06-01,2,msa,Average on Saturdays,81,2020
2020-06-01,2,mdo,Average on Sundays,47,2020
2020-06-01,2,max,Daily Peak,175,2020
2020-06-01,3,total,Total,9911,2020
2020-06-01,3,mdu,Average on Business Days,386,2020
2020-06-01,3,msa,Average on Saturdays,227,2020
2020-06-01,3,mdo,Average on Sundays,128,2020
2020-06-01,3,max,Daily Peak,425,2020
2020-06-01,15,total,Total,405,2020
2020-06-01,15,mdu,Average on Business Days,16,2020
2020-06-01,15,msa,Average on Saturdays,7,2020
2020-06-01,15,mdo,Average on Sundays,4,2020
2020-06-01,15,max,Daily Peak,23,2020
2020-06-01,99,total,Total,21534,2020
2020-06-01,99,mdu,Average on Business Days,844,2020
2020-06-01,99,msa,Average on Saturdays,478,2020
2020-06-01,99,mdo,Average on Sundays,264,2020
2020-06-01,99,max,Daily Peak,942,2020
2020-07-01,1,total,Total,9406,2020
2020-07-01,1,mdu,Average on Business Days,354,2020
2020-07-01,1,msa,Average on Saturdays,224,2020
2020-07-01,1,mdo,Average on Sundays,104,2020
2020-07-01,1,max,Daily Peak,384,2020
2020-07-01,2,total,Total,4984,2020
2020-07-01,2,mdu,Average on Business Days,191,2020
2020-07-01,2,msa,Average on Saturdays,100,2020
2020-07-01,2,mdo,Average on Sundays,55,2020
2020-07-01,2,max,Daily Peak,208,2020
2020-07-01,3,total,Total,12544,2020
2020-07-01,3,mdu,Average on Business Days,469,2020
2020-07-01,3,msa,Average on Saturdays,298,2020
2020-07-01,3,mdo,Average on Sundays,152,2020
2020-07-01,3,max,Daily Peak,510,2020
2020-07-01,15,total,Total,709,2020
2020-07-01,15,mdu,Average on Business Days,27,2020
2020-07-01,15,msa,Average on Saturdays,17,2020
2020-07-01,15,mdo,Average on Sundays,9,2020
2020-07-01,15,max,Daily Peak,29,2020
2020-07-01,99,total,Total,27642,2020
2020-07-01,99,mdu,Average on Business Days,1040,2020
2020-07-01,99,msa,Average on Saturdays,639,2020
2020-07-01,99,mdo,Average on Sundays,319,2020
2020-07-01,99,max,Daily Peak,1131,2020
2020-08-01,1,total,Total,10372,2020
2020-08-01,1,mdu,Average on Business Days,406,2020
2020-08-01,1,msa,Average on Saturdays,253,2020
2020-08-01,1,mdo,Average on Sundays,117,2020
2020-08-01,1,max,Daily Peak,438,2020
2020-08-01,2,total,Total,5450,2020
2020-08-01,2,mdu,Average on Business Days,218,2020
2020-08-01,2,msa,Average on Saturdays,114,2020
2020-08-01,2,mdo,Average on Sundays,61,2020
2020-08-01,2,max,Daily Peak,229,2020
2020-08-01,3,total,Total,13451,2020
2020-08-01,3,mdu,Average on Business Days,522,2020
2020-08-01,3,msa,Average on Saturdays,329,2020
2020-08-01,3,mdo,Average on Sundays,169,2020
2020-08-01,3,max,Daily Peak,565,2020
2020-08-01,15,total,Total,799,2020
2020-08-01,15,mdu,Average on Business Days,31,2020
2020-08-01,15,msa,Average on Saturdays,20,2020
2020-08-01,15,mdo,Average on Sundays,10,2020
2020-08-01,15,max,Daily Peak,34,2020
2020-08-01,99,total,Total,30071,2020
2020-08-01,99,mdu,Average on Business Days,1177,2020
2020-08-01,99,msa,Average on Saturdays,715,2020
2020-08-01,99,mdo,Average on Sundays,356,2020
2020-08-01,99,max,Daily Peak,1265,2020
2020-09-01,1,total,Total,11428,2020
2020-09-01,1,mdu,Average on Business Days,453,2020
2020-09-01,1,msa,Average on Saturdays,294,2020
2020-09-01,1,mdo,Average on Sundays,141,2020
2020-09-01,1,max,Daily Peak,473,2020
2020-09-01,2,total,Total,6002,2020
2020-09-01,2,mdu,Average on Business Days,244,2020
2020-09-01,2,msa,Average on Saturdays,130,2020
2020-09-01,2,mdo,Average on Sundays,70,2020
2020-09-01,2,max,Daily Peak,255,2020
2020-09-01,3,total,Total,14531,2020
2020-09-01,3,mdu,Average on Business Days,573,2020
2020-09-01,3,msa,Average on Saturdays,373,2020
2020-09-01,3,mdo,Average on Sundays,193,2020
2020-09-01,3,max,Daily Peak,595,2020
2020-09-01,15,total,Total,882,2020
2020-09-01,15,mdu,Average on Business Days,35,2020
2020-09-01,15,msa,Average on Saturdays,23,2020
2020-09-01,15,mdo,Average on Sundays,12,2020
2020-09-01,15,max,Daily Peak,37,2020
2020-09-01,99,total,Total,32842,2020
2020-09-01,99,mdu,Average on Business Days,1304,2020
2020-09-01,99,msa,Average on Saturdays,820,2020
2020-09-01,99,mdo,Average on Sundays,416,2020
2020-09-01,99,max,Daily Peak,1359,2020
2020-10-01,1,total,Total,12750,2020
2020-10-01,1,mdu,Average on Business Days,493,2020
2020-10-01,1,msa,Average on Saturdays,320,2020
2020-10-01,1,mdo,Average on Sundays,152,2020
2020-10-01,1,max,Daily Peak,514,2020
2020-10-01,2,total,Total,6647,2020
2020-10-01,2,mdu,Average on Business Days,264,2020
2020-10-01,2,msa,Average on Saturdays,141,2020
2020-10-01,2,mdo,Average on Sundays,78,2020
2020-10-01,2,max,Daily Peak,275,2020
2020-10-01,3,total,Total,15977,2020
2020-10-01,3,mdu,Average on Business Days,615,2020
2020-10-01,3,msa,Average on Saturdays,395,2020
2020-10-01,3,mdo,Average on Sundays,209,2020
2020-10-01,3,max,Daily Peak,648,2020
2020-10-01,15,total,Total,986,2020
2020-10-01,15,mdu,Average on Business Days,38,2020
2020-10-01,15,msa,Average on Saturdays,24,2020
2020-10-01,15,mdo,Average on Sundays,13,2020
2020-10-01,15,max,Daily Peak,41,2020
2020-10-01,99,total,Total,36359,2020
2020-10-01,99,mdu,Average on Business Days,1410,2020
2020-10-01,99,msa,Average on Saturdays,880,2020
2020-10-01,99,mdo,Average on Sundays,452,2020
2020-10-01,99,max,Daily Peak,1475,2020
2020-11-01,1,total,Total,12873,2020
2020-11-01,1,mdu,Average on Business Days,520,2020
2020-11-01,1,msa,Average on Saturdays,355,2020
2020-11-01,1,mdo,Average on Sundays,176,2020
2020-11-01,1,max,Daily Peak,545,2020
2020-11-01,2,total,Total,6695,2020
2020-11-01,2,mdu,Average on Business Days,276,2020
2020-11-01,2,msa,Average on Saturdays,156,2020
2020-11-01,2,mdo,Average on Sundays,90,2020
2020-11-01,2,max,Daily Peak,286,2020
2020-11-01,3,total,Total,16020,2020
2020-11-01,3,mdu,Average on Business Days,641,2020
2020-11-01,3,msa,Average on Saturdays,441,2020
2020-11-01,3,mdo,Average on Sundays,239,2020
2020-11-01,3,max,Daily Peak,681,2020
2020-11-01,15,total,Total,1002,2020
2020-11-01,15,mdu,Average on Business Days,40,2020
2020-11-01,15,msa,Average on Saturdays,27,2020
2020-11-01,15,mdo,Average on Sundays,15,2020
2020-11-01,15,max,Daily Peak,43,2020
2020-11-01,99,total,Total,36589,2020
2020-11-01,99,mdu,Average on Business Days,1478,2020
2020-11-01,99,msa,Average on Saturdays,979,2020
2020-11-01,99,mdo,Average on Sundays,521,2020
2020-11-01,99,max,Daily Peak,1549,2020
2020-12-01,1,total,Total,12855,2020
2020-12-01,1,mdu,Average on Business Days,514,2020
2020-12-01,1,msa,Average on Saturdays,328,2020
2020-12-01,1,mdo,Average on Sundays,173,2020
2020-12-01,1,max,Daily Peak,557,2020
2020-12-01,2,total,Total,6482,2020
2020-12-01,2,mdu,Average on Business Days,267,2020
2020-12-01,2,msa,Average on Saturdays,139,2020
2020-12-01,2,mdo,Average on Sundays,81,2020
2020-12-01,2,max,Daily Peak,288,2020
2020-12-01,3,total,Total,16328,2020
2020-12-01,3,mdu,Average on Business Days,647,2020
2020-12-01,3,msa,Average on Saturdays,423,2020
2020-12-01,3,mdo,Average on Sundays,235,2020
2020-12-01,3,max,Daily Peak,719,2020
2020-12-01,15,total,Total,1009,2020
2020-12-01,15,mdu,Average on Business Days,40,2020
2020-12-01,15,msa,Average on Saturdays,26,2020
2020-12-01,15,mdo,Average on Sundays,14,2020
2020-12-01,15,max,Daily Peak,44,2020
2020-12-01,99,total,Total,36675,2020
2020-12-01,99,mdu,Average on Business Days,1467,2020
2020-12-01,99,msa,Average on Saturdays,916,2020
2020-12-01,99,mdo,Average on Sundays,503,2020
2020-12-01,99,max,Daily Peak,1607,2020
2021-01-01,1,total,Total,11572,2021
2021-01-01,1,mdu,Average on Business Days,483,2021
2021-01-01,1,msa,Average on Saturdays,263,2021
2021-01-01,1,mdo,Average on Sundays,157,2021
2021-01-01,1,max,Daily Peak,512,2021
2021-01-01,2,total,Total,6058,2021
2021-01-01,2,mdu,Average on Business Days,261,2021
2021-01-01,2,msa,Average on Saturdays,119,2021
2021-01-01,2,mdo,Average on Sundays,73,2021
2021-01-01,2,max,Daily Peak,275,2021
2021-01-01,3,total,Total,14433,2021
2021-01-01,3,mdu,Average on Business Days,601,2021
2021-01-01,3,msa,Average on Saturdays,329,2021
2021-01-01,3,mdo,Average on Sundays,197,2021
2021-01-01,3,max,Daily Peak,639,2021
2021-01-01,15,total,Total,932,2021
2021-01-01,15,mdu,Average on Business Days,39,2021
2021-01-01,15,msa,Average on Saturdays,21,2021
2021-01-01,15,mdo,Average on Sundays,12,2021
2021-01-01,15,max,Daily Peak,42,2021
2021-01-01,99,total,Total,32995,2021
2021-01-01,99,mdu,Average on Business Days,1384,2021
2021-01-01,99,msa,Average on Saturdays,733,2021
2021-01-01,99,mdo,Average on Sundays,439,2021
2021-01-01,99,max,Daily Peak,1468,2021
2021-02-01,1,total,Total,11870,2021
2021-02-01,1,mdu,Average on Business Days,509,2021
2021-02-01,1,msa,Average on Saturdays,304,2021
2021-02-01,1,mdo,Average on Sundays,158,2021
2021-02-01,1,max,Daily Peak,526,2021
2021-02-01,2,total,Total,6334,2021
2021-02-01,2,mdu,Average on Business Days,279,2021
2021-02-01,2,msa,Average on Saturdays,142,2021
2021-02-01,2,mdo,Average on Sundays,80,2021
2021-02-01,2,max,Daily Peak,286,2021
2021-02-01,3,total,Total,14848,2021
2021-02-01,3,mdu,Average on Business Days,635,2021
2021-02-01,3,msa,Average on Saturdays,379,2021
2021-02-01,3,mdo,Average on Sundays,212,2021
2021-02-01,3,max,Daily Peak,658,2021
2021-02-01,15,total,Total,966,2021
2021-02-01,15,mdu,Average on Business Days,41,2021
2021-02-01,15,msa,Average on Saturdays,24,2021
2021-02-01,15,mdo,Average on Sundays,13,2021
2021-02-01,15,max,Daily Peak,43,2021
2021-02-01,99,total,Total,34018,2021
2021-02-01,99,mdu,Average on Business Days,1464,2021
2021-02-01,99,msa,Average on Saturdays,850,2021
2021-02-01,99,mdo,Average on Sundays,463,2021
2021-02-01,99,max,Daily Peak,1506,2021
2021-03-01,1,total,Total,9795,2021
2021-03-01,1,mdu,Average on Business Days,398,2021
2021-03-01,1,msa,Average on Saturdays,192,2021
2021-03-01,1,mdo,Average on Sundays,100,2021
2021-03-01,1,max,Daily Peak,531,2021
2021-03-01,2,total,Total,5570,2021
2021-03-01,2,mdu,Average on Business Days,230,2021
2021-03-01,2,msa,Average on Saturdays,99,2021
2021-03-01,2,mdo,Average on Sundays,53,2021
2021-03-01,2,max,Daily Peak,286,2021
2021-03-01,3,total,Total,12699,2021
2021-03-01,3,mdu,Average on Business Days,511,2021
2021-03-01,3,msa,Average on Saturdays,256,2021
2021-03-01,3,mdo,Average on Sundays,144,2021
2021-03-01,3,max,Daily Peak,664,2021
2021-03-01,15,total,Total,887,2021
2021-03-01,15,mdu,Average on Business Days,36,2021
2021-03-01,15,msa,Average on Saturdays,18,2021
2021-03-01,15,mdo,Average on Sundays,10,2021
2021-03-01,15,max,Daily Peak,43,2021
2021-03-01,99,total,Total,28951,2021
2021-03-01,99,mdu,Average on Business Days,1175,2021
2021-03-01,99,msa,Average on Saturdays,566,2021
2021-03-01,99,mdo,Average on Sundays,306,2021
2021-03-01,99,max,Daily Peak,1523,2021
2021-04-01,1,total,Total,9192,2021
2021-04-01,1,mdu,Average on Business Days,388,2021
2021-04-01,1,msa,Average on Saturdays,204,2021
2021-04-01,1,mdo,Average on Sundays,109,2021
2021-04-01,1,max,Daily Peak,449,2021
2021-04-01,2,total,Total,5161,2021
2021-04-01,2,mdu,Average on Business Days,220,2021
2021-04-01,2,msa,Average on Saturdays,105,2021
2021-04-01,2,mdo,Average on Sundays,61,2021
2021-04-01,2,max,Daily Peak,250,2021
2021-04-01,3,total,Total,11808,2021
2021-04-01,3,mdu,Average on Business Days,493,2021
2021-04-01,3,msa,Average on Saturdays,266,2021
2021-04-01,3,mdo,Average on Sundays,153,2021
2021-04-01,3,max,Daily Peak,566,2021
2021-04-01,15,total,Total,831,2021
2021-04-01,15,mdu,Average on Business Days,35,2021
2021-04-01,15,msa,Average on Saturdays,19,2021
2021-04-01,15,mdo,Average on Sundays,10,2021
2021-04-01,15,max,Daily Peak,39,2021
2021-04-01,99,total,Total,26992,2021
2021-04-01,99,mdu,Average on Business Days,1136,2021
2021-04-01,99,msa,Average on Saturdays,595,2021
2021-04-01,99,mdo,Average on Sundays,333,2021
2021-04-01,99,max,Daily Peak,1304,2021
2021-05-01,1,total,Total,11414,2021
2021-05-01,1,mdu,Average on Business Days,459,2021
2021-05-01,1,msa,Average on Saturdays,295,2021
2021-05-01,1,mdo,Average on Sundays,145,2021
2021-05-01,1,max,Daily Peak,476,2021
2021-05-01,2,total,Total,6301,2021
2021-05-01,2,mdu,Average on Business Days,256,2021
2021-05-01,2,msa,Average on Saturdays,144,2021
2021-05-01,2,mdo,Average on Sundays,78,2021
2021-05-01,2,max,Daily Peak,266,2021
2021-05-01,3,total,Total,14212,2021
2021-05-01,3,mdu,Average on Business Days,568,2021
2021-05-01,3,msa,Average on Saturdays,369,2021
2021-05-01,3,mdo,Average on Sundays,191,2021
2021-05-01,3,max,Daily Peak,592,2021
2021-05-01,15,total,Total,970,2021
2021-05-01,15,mdu,Average on Business Days,39,2021
2021-05-01,15,msa,Average on Saturdays,25,2021
2021-05-01,15,mdo,Average on Sundays,13,2021
2021-05-01,15,max,Daily Peak,41,2021
2021-05-01,99,total,Total,32897,2021
2021-05-01,99,mdu,Average on Business Days,1322,2021
2021-05-01,99,msa,Average on Saturdays,833,2021
2021-05-01,99,mdo,Average on Sundays,427,2021
2021-05-01,99,max,Daily Peak,1367,2021
2021-06-01,1,total,Total,12216,2021
2021-06-01,1,mdu,Average on Business Days,476,2021
2021-06-01,1,msa,Average on Saturdays,311,2021
2021-06-01,1,mdo,Average on Sundays,159,2021
2021-06-01,1,max,Daily Peak,497,2021
2021-06-01,2,total,Total,6794,2021
2021-06-01,2,mdu,Average on Business Days,270,2021
2021-06-01,2,msa,Average on Saturdays,154,2021
2021-06-01,2,mdo,Average on Sundays,85,2021
2021-06-01,2,max,Daily Peak,277,2021
2021-06-01,3,total,Total,15052,2021
2021-06-01,3,mdu,Average on Business Days,589,2021
2021-06-01,3,msa,Average on Saturdays,384,2021
2021-06-01,3,mdo,Average on Sundays,184,2021
2021-06-01,3,max,Daily Peak,617,2021
2021-06-01,15,total,Total,1055,2021
2021-06-01,15,mdu,Average on Business Days,41,2021
2021-06-01,15,msa,Average on Saturdays,26,2021
2021-06-01,15,mdo,Average on Sundays,14,2021
2021-06-01,15,max,Daily Peak,43,2021
2021-06-01,99,total,Total,35117,2021
2021-06-01,99,mdu,Average on Business Days,1376,2021
2021-06-01,99,msa,Average on Saturdays,876,2021
2021-06-01,99,mdo,Average on Sundays,442,2021
2021-06-01,99,max,Daily Peak,1431,2021
2021-07-01,1,total,Total,12800,2021
2021-07-01,1,mdu,Average on Business Days,489,2021
2021-07-01,1,msa,Average on Saturdays,318,2021
2021-07-01,1,mdo,Average on Sundays,166,2021
2021-07-01,1,max,Daily Peak,517,2021
2021-07-01,2,total,Total,7114,2021
2021-07-01,2,mdu,Average on Business Days,275,2021
2021-07-01,2,msa,Average on Saturdays,162,2021
2021-07-01,2,mdo,Average on Sundays,94,2021
2021-07-01,2,max,Daily Peak,288,2021
2021-07-01,3,total,Total,15736,2021
2021-07-01,3,mdu,Average on Business Days,603,2021
2021-07-01,3,msa,Average on Saturdays,387,2021
2021-07-01,3,mdo,Average on Sundays,198,2021
2021-07-01,3,max,Daily Peak,635,2021
2021-07-01,15,total,Total,1031,2021
2021-07-01,15,mdu,Average on Business Days,43,2021
2021-07-01,15,msa,Average on Saturdays,17,2021
2021-07-01,15,mdo,Average on Sundays,9,2021
2021-07-01,15,max,Daily Peak,46,2021
2021-07-01,99,total,Total,36681,2021
2021-07-01,99,mdu,Average on Business Days,1411,2021
2021-07-01,99,msa,Average on Saturdays,884,2021
2021-07-01,99,mdo,Average on Sundays,467,2021
2021-07-01,99,max,Daily Peak,1484,2021
2021-08-01,1,total,Total,13887,2021
2021-08-01,1,mdu,Average on Business Days,531,2021
