date,line_number,metric_abb,metric,value,year
2013-08-01,4,mdo,Média dos Domingos,8553.75,2013
2013-08-01,4,mdu,Média dos Dias Úteis,32786.52727272729,2013
2013-08-01,4,msa,Média dos Sábados,15616.64,2013
2013-08-01,4,total,Total,4168009,2013
2013-09-01,4,max,Máxima Diária,69768,2013
2013-09-01,4,mdo,Média dos Domingos,7652.920000000001,2013
2013-09-01,4,mdu,Média dos Dias Úteis,32625.019047619026,2013
2013-09-01,4,msa,Média dos Sábados,14850.549999999997,2013
2013-09-01,4,total,Total,3913961,2013
2013-10-01,4,max,Máxima Diária,72073,2013
2013-10-01,4,mdo,Média dos Domingos,7875.799999999999,2013
2013-10-01,4,mdu,Média dos Dias Úteis,32740.791304347844,2013
2013-10-01,4,msa,Média dos Sábados,15056.150000000001,2013
2013-10-01,4,total,Total,4223830,2013
2013-11-01,4,max,Máxima Diária,76046,2013
2013-11-01,4,mdo,Média dos Domingos,7444.5,2013
2013-11-01,4,mdu,Média dos Dias Úteis,32580.11000000001,2013
2013-11-01,4,msa,Média dos Sábados,14848.760000000002,2013
2013-11-01,4,total,Total,3831971,2013
2013-12-01,4,max,Máxima Diária,69920,2013
2013-12-01,4,mdo,Média dos Domingos,8202.32,2013
2013-12-01,4,mdu,Média dos Dias Úteis,28306.771428571425,2013
2013-12-01,4,msa,Média dos Sábados,15423.049999999997,2013
2013-12-01,4,total,Total,3510385,2013
2014-01-01,4,max,Máxima Diária,62633,2014
2014-01-01,4,mdo,Média dos Domingos,6968.100000000001,2014
2014-01-01,4,mdu,Média dos Dias Úteis,28560.190909090903,2014
2014-01-01,4,msa,Média dos Sábados,12443.099999999999,2014
2014-01-01,4,total,Total,3552874,2014
2014-02-01,4,max,Máxima Diária,77721,2014
2014-02-01,4,mdo,Média dos Domingos,8215.95,2014
2014-02-01,4,mdu,Média dos Dias Úteis,33499.13,2014
2014-02-01,4,msa,Média dos Sábados,14830,2014
2014-02-01,4,total,Total,3810832,2014
2014-03-01,4,max,Máxima Diária,73561,2014
2014-03-01,4,mdo,Média dos Domingos,7087.920000000001,2014
2014-03-01,4,mdu,Média dos Dias Úteis,33695.210526315816,2014
2014-03-01,4,msa,Média dos Sábados,15112.400000000003,2014
2014-03-01,4,total,Total,3850378,2014
2014-04-01,4,max,Máxima Diária,73966,2014
2014-04-01,4,mdo,Média dos Domingos,6721.2,2014
2014-04-01,4,mdu,Média dos Dias Úteis,34525.29999999999,2014
2014-04-01,4,msa,Média dos Sábados,15200.049999999997,2014
2014-04-01,4,total,Total,3971962,2014
2014-05-01,4,max,Máxima Diária,76629,2014
2014-05-01,4,mdo,Média dos Domingos,8032.299999999999,2014
2014-05-01,4,mdu,Média dos Dias Úteis,33981.40952380952,2014
2014-05-01,4,msa,Média dos Sábados,16001.480000000001,2014
2014-05-01,4,total,Total,4168090,2014
2014-06-01,4,max,Máxima Diária,68320,2014
2014-06-01,4,mdo,Média dos Domingos,6770.799999999999,2014
2014-06-01,4,mdu,Média dos Dias Úteis,30564.940000000017,2014
2014-06-01,4,msa,Média dos Sábados,13972.25,2014
2014-06-01,4,total,Total,3557253,2014
2014-07-01,4,max,Máxima Diária,64493,2014
2014-07-01,4,mdo,Média dos Domingos,7428.899999999999,2014
2014-07-01,4,mdu,Média dos Dias Úteis,30585.25217391303,2014
2014-07-01,4,msa,Média dos Sábados,14970.900000000001,2014
2014-07-01,4,total,Total,3965300,2014
2014-08-01,4,max,Máxima Diária,77129,2014
2014-08-01,4,mdo,Média dos Domingos,6597.840000000001,2014
2014-08-01,4,mdu,Média dos Dias Úteis,34222.79999999999,2014
2014-08-01,4,msa,Média dos Sábados,16005.08,2014
2014-08-01,4,total,Total,4158467,2014
2014-09-01,4,max,Máxima Diária,71906,2014
2014-09-01,4,mdo,Média dos Domingos,6571.1,2014
2014-09-01,4,mdu,Média dos Dias Úteis,34332.70909090908,2014
2014-09-01,4,msa,Média dos Sábados,16085.450000000003,2014
2014-09-01,4,total,Total,4229729,2014
2014-10-01,4,max,Máxima Diária,70988,2014
2014-10-01,4,mdo,Média dos Domingos,7990.350000000001,2014
2014-10-01,4,mdu,Média dos Dias Úteis,33639.27826086957,2014
2014-10-01,4,msa,Média dos Sábados,15757.25,2014
2014-10-01,4,total,Total,4343469,2014
2014-11-01,4,max,Máxima Diária,70846,2014
2014-11-01,4,mdo,Média dos Domingos,6779.785714285714,2014
2014-11-01,4,mdu,Média dos Dias Úteis,29638.21621621622,2014
2014-11-01,4,msa,Média dos Sábados,14089.821428571428,2014
2014-11-01,4,total,Total,3874191,2014
2014-12-01,4,max,Máxima Diária,77870,2014
2014-12-01,4,mdo,Média dos Domingos,8138.125,2014
2014-12-01,4,mdu,Média dos Dias Úteis,24721.098484848466,2014
2014-12-01,4,msa,Média dos Sábados,13512.208333333336,2014
2014-12-01,4,total,Total,3807104,2014
2015-01-01,4,max,Máxima Diária,57855,2015
2015-01-01,4,mdo,Média dos Domingos,7009.333333333333,2015
2015-01-01,4,mdu,Média dos Dias Úteis,24203.896825396838,2015
2015-01-01,4,msa,Média dos Sábados,11316.400000000001,2015
2015-01-01,4,total,Total,3580189,2015
2015-02-01,4,max,Máxima Diária,66774,2015
2015-02-01,4,mdo,Média dos Domingos,8384.791666666668,2015
2015-02-01,4,mdu,Média dos Dias Úteis,27086.53703703703,2015
2015-02-01,4,msa,Média dos Sábados,13725.125,2015
2015-02-01,4,total,Total,3571863,2015
2015-03-01,4,max,Máxima Diária,69063,2015
2015-03-01,4,mdo,Média dos Domingos,7269.533333333334,2015
2015-03-01,4,mdu,Média dos Dias Úteis,28798.924242424255,2015
2015-03-01,4,msa,Média dos Sábados,13215.958333333334,2015
2015-03-01,4,total,Total,4336727,2015
2015-04-01,4,max,Máxima Diária,69086,2015
2015-04-01,4,mdo,Média dos Domingos,6528.458333333333,2015
2015-04-01,4,mdu,Média dos Dias Úteis,28222.950000000015,2015
2015-04-01,4,msa,Média dos Sábados,12607.875,2015
2015-04-01,4,total,Total,3930223,2015
2015-05-01,4,max,Máxima Diária,69053,2015
2015-05-01,4,mdo,Média dos Domingos,5848.600000000001,2015
2015-05-01,4,mdu,Média dos Dias Úteis,28620.416666666675,2015
2015-05-01,4,msa,Média dos Sábados,13182.5,2015
2015-05-01,4,total,Total,4055579,2015
2015-06-01,4,max,Máxima Diária,66513,2015
2015-06-01,4,mdo,Média dos Domingos,7851.583333333333,2015
2015-06-01,4,mdu,Média dos Dias Úteis,27387.7777777778,2015
2015-06-01,4,msa,Média dos Sábados,13140.041666666666,2015
2015-06-01,4,total,Total,3999545,2015
2015-07-01,4,max,Máxima Diária,58095,2015
2015-07-01,4,mdo,Média dos Domingos,7185.583333333333,2015
2015-07-01,4,mdu,Média dos Dias Úteis,24855.565217391286,2015
2015-07-01,4,msa,Média dos Sábados,11623.5,2015
2015-07-01,4,total,Total,3881486,2015
2015-08-01,4,max,Máxima Diária,66394,2015
2015-08-01,4,mdo,Média dos Domingos,8147.9333333333325,2015
2015-08-01,4,mdu,Média dos Dias Úteis,28331.730158730144,2015
