date,line_number,station_name,avg_passenger,year
2013-08-01,4,Luz,132074.18181818182,2013
2013-08-01,4,Paulista,157906.9090909091,2013
2013-08-01,4,Pinheiros,140118.5909090909,2013
2013-08-01,4,República,140651.22727272726,2013
2013-09-01,4,Butantã,66583.28571428571,2013
2013-09-01,4,Faria Lima,44413.80952380953,2013
2013-09-01,4,Luz,131549.04761904763,2013
2013-09-01,4,Paulista,157182.95238095237,2013
2013-09-01,4,Pinheiros,139268.7619047619,2013
2013-09-01,4,República,141741.09523809524,2013
2013-10-01,4,Butantã,66532.82608695653,2013
2013-10-01,4,Faria Lima,44810.82608695652,2013
2013-10-01,4,Luz,133051.86956521738,2013
2013-10-01,4,Paulista,157687.26086956522,2013
2013-10-01,4,Pinheiros,140982.8260869565,2013
2013-10-01,4,República,142861.13043478262,2013
2013-11-01,4,Butantã,66690.3,2013
2013-11-01,4,Faria Lima,44675.3,2013
2013-11-01,4,Luz,132178.75,2013
2013-11-01,4,Paulista,156120.35,2013
2013-11-01,4,Pinheiros,139791.45,2013
2013-11-01,4,República,141528.25,2013
2013-12-01,4,Butantã,57558.428571428565,2013
2013-12-01,4,Faria Lima,39351.857142857145,2013
2013-12-01,4,Luz,119876.04761904762,2013
2013-12-01,4,Paulista,134801.3333333333,2013
2013-12-01,4,Pinheiros,123667.09523809524,2013
2013-12-01,4,República,125596.85714285713,2013
2014-01-01,4,Butantã,55989,2014
2014-01-01,4,Faria Lima,40270.36363636364,2014
2014-01-01,4,Luz,113436.86363636363,2014
2014-01-01,4,Paulista,136618.04545454544,2014
2014-01-01,4,Pinheiros,124650.68181818182,2014
2014-01-01,4,República,126666.36363636363,2014
2014-02-01,4,Butantã,68329.8,2014
2014-02-01,4,Faria Lima,45554.6,2014
2014-02-01,4,Luz,133906.6,2014
2014-02-01,4,Paulista,157007.95,2014
2014-02-01,4,Pinheiros,140454.4,2014
2014-02-01,4,República,141547.35,2014
2014-03-01,4,Butantã,69881.52631578948,2014
2014-03-01,4,Faria Lima,45165.42105263158,2014
2014-03-01,4,Luz,133748.8947368421,2014
2014-03-01,4,Paulista,157873.73684210525,2014
2014-03-01,4,Pinheiros,139038.1052631579,2014
2014-03-01,4,República,142466.94736842104,2014
2014-04-01,4,Butantã,71180.5,2014
2014-04-01,4,Faria Lima,46126.4,2014
2014-04-01,4,Luz,136810.8,2014
2014-04-01,4,Paulista,160447.2,2014
2014-04-01,4,Pinheiros,143228.35,2014
2014-04-01,4,República,145375.55,2014
2014-05-01,4,Butantã,68445.80952380953,2014
2014-05-01,4,Faria Lima,46601.380952380954,2014
2014-05-01,4,Luz,134494.04761904763,2014
2014-05-01,4,Paulista,158054.09523809524,2014
2014-05-01,4,Pinheiros,143204.7142857143,2014
2014-05-01,4,República,142674.7142857143,2014
2014-06-01,4,Butantã,57759.25,2014
2014-06-01,4,Faria Lima,42407.9,2014
2014-06-01,4,Luz,133043.05,2014
2014-06-01,4,Paulista,136888.4,2014
2014-06-01,4,Pinheiros,124792.4,2014
2014-06-01,4,República,123143.55,2014
2014-07-01,4,Butantã,57394.913043478264,2014
2014-07-01,4,Faria Lima,45303.913043478264,2014
2014-07-01,4,Luz,125677.47826086957,2014
2014-07-01,4,Paulista,141520.65217391305,2014
2014-07-01,4,Pinheiros,128826.60869565218,2014
2014-07-01,4,República,129530.95652173914,2014
2014-08-01,4,Butantã,67958.61904761905,2014
2014-08-01,4,Faria Lima,47533.28571428572,2014
2014-08-01,4,Luz,138240.95238095237,2014
2014-08-01,4,Paulista,156401.19047619047,2014
2014-08-01,4,Pinheiros,140301.7142857143,2014
2014-08-01,4,República,140775.52380952382,2014
2014-09-01,4,Butantã,68352.77272727272,2014
2014-09-01,4,Faria Lima,47902.86363636364,2014
2014-09-01,4,Luz,139368.54545454544,2014
2014-09-01,4,Paulista,156212.45454545456,2014
2014-09-01,4,Pinheiros,141640.31818181818,2014
2014-09-01,4,República,142678.22727272726,2014
2014-10-01,4,Butantã,69402.13043478261,2014
2014-10-01,4,Faria Lima,48212.13043478261,2014
2014-10-01,4,Luz,138802.21739130435,2014
2014-10-01,4,Paulista,154661.69565217392,2014
2014-10-01,4,Pinheiros,141529.60869565216,2014
2014-10-01,4,República,142149.13043478262,2014
2014-11-01,4,Butantã,68010.75,2014
2014-11-01,4,Faria Lima,46508.85,2014
2014-11-01,4,Fradique Coutinho,4589.636363636364,2014
2014-11-01,4,Luz,135873.95,2014
2014-11-01,4,Paulista,150041.25,2014
2014-11-01,4,Pinheiros,135819.45,2014
2014-11-01,4,República,139307.45,2014
2014-12-01,4,Butantã,60741.045454545456,2014
2014-12-01,4,Faria Lima,39100.27272727273,2014
2014-12-01,4,Fradique Coutinho,8725.590909090908,2014
2014-12-01,4,Luz,124747.31818181818,2014
2014-12-01,4,Paulista,133116.72727272726,2014
2014-12-01,4,Pinheiros,122837.5,2014
2014-12-01,4,República,127498.81818181818,2014
2015-01-01,4,Butantã,56626.90476190476,2015
2015-01-01,4,Faria Lima,38470.47619047619,2015
2015-01-01,4,Fradique Coutinho,10007.190476190477,2015
2015-01-01,4,Luz,117152.57142857143,2015
2015-01-01,4,Paulista,134527.66666666666,2015
2015-01-01,4,Pinheiros,121376.23809523809,2015
2015-01-01,4,República,125967.61904761905,2015
2015-02-01,4,Butantã,65213.77777777778,2015
2015-02-01,4,Faria Lima,41543.5,2015
2015-02-01,4,Fradique Coutinho,11968.833333333334,2015
2015-02-01,4,Luz,126797.16666666667,2015
2015-02-01,4,Paulista,149446.5,2015
2015-02-01,4,Pinheiros,134701.38888888888,2015
2015-02-01,4,República,139313.77777777778,2015
2015-03-01,4,Butantã,72820.13636363637,2015
2015-03-01,4,Faria Lima,42288.681818181816,2015
2015-03-01,4,Fradique Coutinho,13141.90909090909,2015
2015-03-01,4,Luz,132354.04545454544,2015
2015-03-01,4,Paulista,158881.54545454544,2015
2015-03-01,4,Pinheiros,141389.63636363635,2015
2015-03-01,4,República,143599.54545454544,2015
2015-04-01,4,Butantã,71057.05,2015
2015-04-01,4,Faria Lima,41940.4,2015
2015-04-01,4,Fradique Coutinho,13501.05,2015
2015-04-01,4,Luz,139177.85,2015
2015-04-01,4,Paulista,156100.1,2015
2015-04-01,4,Pinheiros,141346.4,2015
2015-04-01,4,República,142588.9,2015
2015-05-01,4,Butantã,71743.25,2015
2015-05-01,4,Faria Lima,42472,2015
2015-05-01,4,Fradique Coutinho,14027.2,2015
2015-05-01,4,Luz,138607.65,2015
2015-05-01,4,Paulista,157737.45,2015
2015-05-01,4,Pinheiros,143085.8,2015
2015-05-01,4,República,142829.9,2015
2015-06-01,4,Butantã,68019.76190476191,2015
2015-06-01,4,Faria Lima,41424.95238095238,2015
2015-06-01,4,Fradique Coutinho,13846.190476190477,2015
2015-06-01,4,Luz,133527.42857142858,2015
2015-06-01,4,Paulista,150506.66666666666,2015
2015-06-01,4,Pinheiros,137706.52380952382,2015
2015-06-01,4,República,137938.61904761905,2015
2015-07-01,4,Butantã,59748.17391304348,2015
2015-07-01,4,Faria Lima,38781.69565217391,2015
2015-07-01,4,Fradique Coutinho,13434.869565217392,2015
2015-07-01,4,Luz,126428.08695652174,2015
2015-07-01,4,Paulista,138156.60869565216,2015
2015-07-01,4,Pinheiros,130274.34782608696,2015
2015-07-01,4,República,129021.30434782608,2015
2015-08-01,4,Butantã,71374,2015
2015-08-01,4,Faria Lima,42466.90476190476,2015
2015-08-01,4,Fradique Coutinho,14935.095238095239,2015
2015-08-01,4,Luz,138092.38095238095,2015
2015-08-01,4,Paulista,155217.57142857142,2015
2015-08-01,4,Pinheiros,142635.2857142857,2015
2015-08-01,4,República,142756.47619047618,2015
2015-09-01,4,Butantã,70895.95238095238,2015
2015-09-01,4,Faria Lima,42507.71428571428,2015
2015-09-01,4,Fradique Coutinho,15059.047619047618,2015
2015-09-01,4,Luz,138253.66666666666,2015
