date,year,line_number,station_code,station_name,passengers
2020-01-02,2020,3,bfu,Palmeiras-Barra Funda,129.2
2020-01-02,2020,3,bre,Bresser-Moóca,19.9
2020-01-02,2020,3,car,Carrão,26.5
2020-01-02,2020,3,cec,Santa Cecília,19.3
2020-01-02,2020,3,deo,Marechal Deodoro,19
2020-01-02,2020,3,gbu,Anhangabaú,39.7
2020-01-02,2020,3,itq,Corinthians-Itaquera,60.9
2020-01-02,2020,3,pca,Patriarca,15.2
2020-01-02,2020,3,pds,Pedro II,14.7
2020-01-02,2020,3,pen,Penha,20.2
2020-01-02,2020,3,pse,Sé,21.1
2020-01-02,2020,3,rep,República,97.4
2020-01-02,2020,3,tat,Tatuapé,55.5
2020-01-02,2020,3,vpa,Guilhermina-Esperança,14.6
2020-01-02,2020,3,vtd,Vila Matilde,17.1
2020-01-02,2020,15,cad,Camilo Haddad,1.9
2020-01-02,2020,15,fjt,Fazenda da Juta,0.4
2020-01-02,2020,15,jpl,Jardim Planalto,4.6
2020-01-02,2020,15,mat,São Mateus,1.8
2020-01-02,2020,15,ort,Oratório,2.9
2020-01-02,2020,15,sap,Sapopemba,1.1
2020-01-02,2020,15,slu,São Lucas,2.3
2020-01-02,2020,15,vpm,Vila Prudente,7.5
2020-01-02,2020,15,vtl,Vila Tolstói,1.6
2020-01-02,2020,15,vun,Vila União,2.6
2020-01-03,2020,1,anr,Ana Rosa,13.8
2020-01-03,2020,1,arv,Praça da Árvore,13.4
2020-01-03,2020,1,bto,São Bento,57.1
2020-01-03,2020,1,cdu,Carandiru,9.5
2020-01-03,2020,1,con,Conceição,26.9
2020-01-03,2020,1,jab,Jabaquara,74.5
2020-01-03,2020,1,jpa,Jardim São Paulo-Ayrton Senna,8.4
2020-01-03,2020,1,jqm,São Joaquim,16.1
2020-01-03,2020,1,jud,São Judas,13.3
2020-01-03,2020,1,lib,Japão-Liberdade,18
2020-01-03,2020,1,luz,Luz,106.1
2020-01-03,2020,1,pig,Parada Inglesa,9.7
2020-01-03,2020,1,ppq,Armênia,18.8
2020-01-03,2020,1,pse,Sé,17
2020-01-03,2020,1,pso,Paraíso,15.6
2020-01-03,2020,1,san,Santana,41.3
2020-01-03,2020,1,sau,Saúde,23.6
2020-01-03,2020,1,scz,Santa Cruz,74.8
2020-01-03,2020,1,trd,Tiradentes,7.9
2020-01-03,2020,1,tte,Portuguesa-Tietê,57.1
2020-01-03,2020,1,tuc,Tucuruvi,48.5
2020-01-03,2020,1,vgo,Vergueiro,18.9
2020-01-03,2020,1,vmn,Vila Mariana,12.7
2020-01-03,2020,2,aip,Alto do Ipiranga,12.1
2020-01-03,2020,2,anr,Ana Rosa,7.7
2020-01-03,2020,2,bgd,Brigadeiro,42
2020-01-03,2020,2,ckb,Chácara Klabin,49.4
2020-01-03,2020,2,cli,Clínicas,15.2
2020-01-03,2020,2,cns,Consolação,85.9
2020-01-03,2020,2,img,Santos-Imigrantes,10.4
2020-01-03,2020,2,pso,Paraíso,8.8
2020-01-03,2020,2,sac,Sacomã,29.1
2020-01-03,2020,2,sum,Sumaré,7.4
2020-01-03,2020,2,tri,Trianon-Masp,36.8
2020-01-03,2020,2,tti,Tamanduateí,51.5
2020-01-03,2020,2,vmd,Vila Madalena,15.3
2020-01-03,2020,2,vpt,Vila Prudente,20.2
2020-01-03,2020,3,art,Artur Alvim,44.5
2020-01-03,2020,3,bas,Brás,74.8
2020-01-03,2020,3,bel,Belém,31.3
2020-01-03,2020,3,bfu,Palmeiras-Barra Funda,140.1
2020-01-03,2020,3,bre,Bresser-Moóca,24.1
2020-01-03,2020,3,car,Carrão,30.9
2020-01-03,2020,3,cec,Santa Cecília,22.2
2020-01-03,2020,3,deo,Marechal Deodoro,21.7
2020-01-03,2020,3,gbu,Anhangabaú,43.9
2020-01-03,2020,3,itq,Corinthians-Itaquera,66.1
2020-01-03,2020,3,pca,Patriarca,16.6
2020-01-03,2020,3,pds,Pedro II,16.5
2020-01-03,2020,3,pen,Penha,21.5
2020-01-03,2020,3,pse,Sé,24.4
2020-01-03,2020,3,rep,República,109.7
2020-01-03,2020,3,tat,Tatuapé,63.9
2020-01-03,2020,3,vpa,Guilhermina-Esperança,16.1
2020-01-03,2020,3,vtd,Vila Matilde,19.7
2020-01-03,2020,15,cad,Camilo Haddad,1.8
2020-01-03,2020,15,fjt,Fazenda da Juta,0.5
2020-01-03,2020,15,jpl,Jardim Planalto,3.1
2020-01-03,2020,15,mat,São Mateus,1.2
2020-01-03,2020,15,ort,Oratório,2.5
2020-01-03,2020,15,sap,Sapopemba,0.8
2020-01-03,2020,15,slu,São Lucas,2.4
2020-01-03,2020,15,vpm,Vila Prudente,8.4
2020-01-03,2020,15,vtl,Vila Tolstói,1.6
2020-01-03,2020,15,vun,Vila União,2.1
2020-01-04,2020,1,anr,Ana Rosa,9.6
2020-01-04,2020,1,arv,Praça da Árvore,8.2
2020-01-04,2020,1,bto,São Bento,38.7
2020-01-04,2020,1,cdu,Carandiru,5.1
2020-01-04,2020,1,con,Conceição,13.1
2020-01-04,2020,1,jab,Jabaquara,50.8
2020-01-04,2020,1,jpa,Jardim São Paulo-Ayrton Senna,4.7
2020-01-04,2020,1,jqm,São Joaquim,7.4
2020-01-04,2020,1,jud,São Judas,5.8
2020-01-04,2020,1,lib,Japão-Liberdade,17.1
2020-01-04,2020,1,luz,Luz,62.7
2020-01-04,2020,1,pig,Parada Inglesa,5.3
