date,line_number,metric_abb,metric,value,year
2013-09-01,4,total,Total,3913961,2013
2013-10-01,4,max,Daily Peak,174687,2013
2013-10-01,4,mdo,Average on Sundays,39379,2013
2013-10-01,4,mdu,Average on Business Days,163703.95652173914,2013
2013-10-01,4,msa,Average on Saturdays,75280.75,2013
2013-10-01,4,total,Total,4223830,2013
2013-11-01,4,max,Daily Peak,181993,2013
2013-11-01,4,mdo,Average on Sundays,37222.5,2013
2013-11-01,4,mdu,Average on Business Days,162900.55,2013
2013-11-01,4,msa,Average on Saturdays,74243.8,2013
2013-11-01,4,total,Total,3831971,2013
2013-12-01,4,max,Daily Peak,172121,2013
2013-12-01,4,mdo,Average on Sundays,41011.6,2013
2013-12-01,4,mdu,Average on Business Days,141533.85714285713,2013
2013-12-01,4,msa,Average on Saturdays,77115.25,2013
2013-12-01,4,total,Total,3510385,2013
2014-01-01,4,max,Daily Peak,160026,2014
2014-01-01,4,mdo,Average on Sundays,34840.5,2014
2014-01-01,4,mdu,Average on Business Days,142800.95454545456,2014
2014-01-01,4,msa,Average on Saturdays,62215.5,2014
2014-01-01,4,total,Total,3552874,2014
2014-02-01,4,max,Daily Peak,193002,2014
2014-02-01,4,mdo,Average on Sundays,41079.75,2014
2014-02-01,4,mdu,Average on Business Days,167495.65,2014
2014-02-01,4,msa,Average on Saturdays,74150,2014
2014-02-01,4,total,Total,3810832,2014
2014-03-01,4,max,Daily Peak,177736,2014
2014-03-01,4,mdo,Average on Sundays,35439.6,2014
2014-03-01,4,mdu,Average on Business Days,168476.05263157896,2014
2014-03-01,4,msa,Average on Saturdays,75562,2014
2014-03-01,4,total,Total,3850378,2014
2014-04-01,4,max,Daily Peak,177710,2014
2014-04-01,4,mdo,Average on Sundays,33606,2014
2014-04-01,4,mdu,Average on Business Days,172626.5,2014
2014-04-01,4,msa,Average on Saturdays,76000.25,2014
2014-04-01,4,total,Total,3971962,2014
2014-05-01,4,max,Daily Peak,209881,2014
2014-05-01,4,mdo,Average on Sundays,40161.5,2014
2014-05-01,4,mdu,Average on Business Days,169907.04761904763,2014
2014-05-01,4,msa,Average on Saturdays,80007.4,2014
2014-05-01,4,total,Total,4168090,2014
2014-06-01,4,max,Daily Peak,175385,2014
2014-06-01,4,mdo,Average on Sundays,33854,2014
2014-06-01,4,mdu,Average on Business Days,152824.7,2014
2014-06-01,4,msa,Average on Saturdays,69861.25,2014
2014-06-01,4,total,Total,3557253,2014
2014-07-01,4,max,Daily Peak,167463,2014
2014-07-01,4,mdo,Average on Sundays,37144.5,2014
2014-07-01,4,mdu,Average on Business Days,152926.26086956522,2014
2014-07-01,4,msa,Average on Saturdays,74854.5,2014
2014-07-01,4,total,Total,3965300,2014
2014-08-01,4,max,Daily Peak,182895,2014
2014-08-01,4,mdo,Average on Sundays,32989.2,2014
2014-08-01,4,mdu,Average on Business Days,171114,2014
2014-08-01,4,msa,Average on Saturdays,80025.4,2014
2014-08-01,4,total,Total,4158467,2014
2014-09-01,4,max,Daily Peak,177865,2014
2014-09-01,4,mdo,Average on Sundays,32855.5,2014
2014-09-01,4,mdu,Average on Business Days,171663.54545454544,2014
2014-09-01,4,msa,Average on Saturdays,80427.25,2014
2014-09-01,4,total,Total,4229729,2014
2014-10-01,4,max,Daily Peak,175656,2014
2014-10-01,4,mdo,Average on Sundays,39951.75,2014
2014-10-01,4,mdu,Average on Business Days,168196.39130434784,2014
2014-10-01,4,msa,Average on Saturdays,78786.25,2014
2014-10-01,4,total,Total,4343469,2014
2014-11-01,4,max,Daily Peak,187208,2014
2014-11-01,4,mdo,Average on Sundays,37966.8,2014
2014-11-01,4,mdu,Average on Business Days,164492.1,2014
2014-11-01,4,msa,Average on Saturdays,78903,2014
2014-11-01,4,total,Total,3874191,2014
2014-12-01,4,max,Daily Peak,190279,2014
2014-12-01,4,mdo,Average on Sundays,48828.75,2014
2014-12-01,4,mdu,Average on Business Days,148326.5909090909,2014
2014-12-01,4,msa,Average on Saturdays,81073.25,2014
2014-12-01,4,total,Total,3807104,2014
2015-01-01,4,max,Daily Peak,159582,2015
2015-01-01,4,mdo,Average on Sundays,42056,2015
2015-01-01,4,mdu,Average on Business Days,145223.38095238095,2015
2015-01-01,4,msa,Average on Saturdays,67898.4,2015
2015-01-01,4,total,Total,3580189,2015
2015-02-01,4,max,Daily Peak,175947,2015
2015-02-01,4,mdo,Average on Sundays,50308.75,2015
2015-02-01,4,mdu,Average on Business Days,162519.22222222222,2015
2015-02-01,4,msa,Average on Saturdays,82350.75,2015
2015-02-01,4,total,Total,3571863,2015
2015-03-01,4,max,Daily Peak,181430,2015
2015-03-01,4,mdo,Average on Sundays,43617.2,2015
2015-03-01,4,mdu,Average on Business Days,172793.54545454544,2015
2015-03-01,4,msa,Average on Saturdays,79295.75,2015
2015-03-01,4,total,Total,4336727,2015
2015-04-01,4,max,Daily Peak,181472,2015
2015-04-01,4,mdo,Average on Sundays,39170.75,2015
2015-04-01,4,mdu,Average on Business Days,169337.7,2015
2015-04-01,4,msa,Average on Saturdays,75647.25,2015
2015-04-01,4,total,Total,3930223,2015
2015-05-01,4,max,Daily Peak,183028,2015
2015-05-01,4,mdo,Average on Sundays,35091.6,2015
2015-05-01,4,mdu,Average on Business Days,171722.5,2015
2015-05-01,4,msa,Average on Saturdays,79095,2015
2015-05-01,4,total,Total,4055579,2015
2015-06-01,4,max,Daily Peak,174807,2015
2015-06-01,4,mdo,Average on Sundays,47109.5,2015
2015-06-01,4,mdu,Average on Business Days,164326.66666666666,2015
2015-06-01,4,msa,Average on Saturdays,78840.25,2015
2015-06-01,4,total,Total,3999545,2015
2015-07-01,4,max,Daily Peak,161323,2015
2015-07-01,4,mdo,Average on Sundays,43113.5,2015
2015-07-01,4,mdu,Average on Business Days,149133.39130434784,2015
2015-07-01,4,msa,Average on Saturdays,69741,2015
2015-07-01,4,total,Total,3881486,2015
2015-08-01,4,max,Daily Peak,183717,2015
2015-08-01,4,mdo,Average on Sundays,48887.6,2015
2015-08-01,4,mdu,Average on Business Days,169990.38095238095,2015
2015-08-01,4,msa,Average on Saturdays,82460.8,2015
2015-08-01,4,total,Total,4226540,2015
2015-09-01,4,max,Daily Peak,176039,2015
2015-09-01,4,mdo,Average on Sundays,44645.5,2015
2015-09-01,4,mdu,Average on Business Days,168860.2380952381,2015
2015-09-01,4,msa,Average on Saturdays,78225.5,2015
2015-09-01,4,total,Total,4077282,2015
2015-10-01,4,max,Daily Peak,179764,2015
2015-10-01,4,mdo,Average on Sundays,48221,2015
2015-10-01,4,mdu,Average on Business Days,170446.14285714287,2015
2015-10-01,4,msa,Average on Saturdays,81759.4,2015
2015-10-01,4,total,Total,4225367,2015
2015-11-01,4,max,Daily Peak,179515,2015
2015-11-01,4,mdo,Average on Sundays,47283.2,2015
2015-11-01,4,mdu,Average on Business Days,166260.45,2015
2015-11-01,4,msa,Average on Saturdays,82407.75,2015
2015-11-01,4,total,Total,3932599,2015
2015-12-01,4,max,Daily Peak,182067,2015
2015-12-01,4,mdo,Average on Sundays,51208.5,2015
2015-12-01,4,mdu,Average on Business Days,146061.5,2015
2015-12-01,4,msa,Average on Saturdays,78995.5,2015
2015-12-01,4,total,Total,3758409,2015
2016-01-01,4,max,Daily Peak,156497,2016
2016-01-01,4,mdo,Average on Sundays,51928,2016
2016-01-01,4,mdu,Average on Business Days,139191.55,2016
2016-01-01,4,msa,Average on Saturdays,73294.4,2016
2016-01-01,4,total,Total,3431312,2016
2016-02-01,4,max,Daily Peak,173489,2016
2016-02-01,4,mdo,Average on Sundays,55512.25,2016
2016-02-01,4,mdu,Average on Business Days,159935.31578947368,2016
2016-02-01,4,msa,Average on Saturdays,86505.5,2016
2016-02-01,4,total,Total,3772680,2016
2016-03-01,4,max,Daily Peak,189929,2016
2016-03-01,4,mdo,Average on Sundays,58014.25,2016
2016-03-01,4,mdu,Average on Business Days,170606.36363636365,2016
2016-03-01,4,msa,Average on Saturdays,78474.5,2016
2016-03-01,4,total,Total,4340742,2016
